DocumentID,Document,Book
540,would not send them away out of the country now there was there nigh unto the mountains a great herd of swine feeding and all the devils besought him saying send us into the swine that we may enter into them and forthwith gave them leave and the unclean spirits went out and entered into the swine and the herd ran violently down a steep place into the sea they were about two thousand and were choked in the sea and they that fed the swine fled and told it in the city and in the country and they went out to see what it was that was done and they come to and see him that was possessed with the devil and had the legion sitting and clothed and in his right mind and they were afraid and they that saw it told them how it befell to him that was possessed with the devil and also concerning the swine and they began to pray him to depart out of their coasts and when he was come into the ship he that had been possessed with the devil prayed him that he might be with him howbeit suffered him,NT
541,was totally inapplicable to my case i should have been the first to hide my grief and console my friends if remorse had not mingled its bitterness and terror its alarm with my other sensations now i could only answer my father with a look of despair and endeavour to hide myself from his view about this time we retired to our house at belrive this change was particularly agreeable to me the shutting of the gates regularly at ten o'clock and the impossibility of remaining on the lake after that hour had rendered our residence within the walls of geneva very irksome to me i was now free often after the rest of the family had retired for the night i took the boat and passed many hours upon the water sometimes with my sails set i was carried by the wind and sometimes after rowing into the middle of the lake i left the boat to pursue its own course and gave way to my own miserable reflections i was often tempted when all was at peace around me and i the only unquiet thing that wandered restless in a scene so beautiful and heavenlyif i except some,FS
542,sweet gum would exude from them to my imagination it retained throughout the day more or less of this auroral character reminding me of a certain house on a mountain which i had visited a year before this was an airy and unplastered cabin fit to entertain a travelling god and where a goddess might trail her garments the winds which passed over my dwelling were such as sweep over the ridges of mountains bearing the broken strains or celestial parts only of terrestrial music the morning wind forever blows the poem of creation is uninterrupted but few are the ears that hear it olympus is but the outside of the earth everywhere the only house i had been the owner of before if i except a boat was a tent which i used occasionally when making excursions in the summer and this is still rolled up in my garret but the boat after passing from hand to hand has gone down the stream of time with this more substantial shelter about me i had made some progress toward settling in the world this frame so slightly clad was a sort of crystallization around me and reacted on the builder,WD
543,a moment in revery before this tender and calming spectacle what was taking place within him he alone could have told it is probable that he thought that this joyous house would be hospitable and that in a place where he beheld so much happiness he would find perhaps a little pity he tapped on the pane with a very small and feeble knock they did not hear him he tapped again he heard the woman say it seems to me husband that some one is knocking no replied the husband he tapped a third time the husband rose took the lamp and went to the door which he opened he was a man of lofty stature half peasant half artisan he wore a huge leather apron which reached to his left shoulder and which a hammer a red handkerchief a powder horn and all sorts of objects which were upheld by the girdle as in a pocket caused to bulge out he carried his head thrown backwards his shirt widely opened and turned back displayed his bull neck white and bare he had thick eyelashes enormous black whiskers prominent eyes the lower part of his face like a snout,LM
544,not but saith unto him go home to thy friends and tell them how great things the lord hath done for thee and hath had compassion on thee and he departed and began to publish in decapolis how great things had done for him and all men did marvel and when was passed over again by ship unto the other side much people gathered unto him and he was nigh unto the sea and behold there cometh one of the rulers of the synagogue jairus by name and when he saw him he fell at his feet and besought him greatly saying my little daughter lieth at the point of death i pray thee come and lay thy hands on her that she may be healed and she shall live and went with him and much people followed him and thronged him and a certain woman which had an issue of blood twelve years and had suffered many things of many physicians and had spent all that she had and was nothing bettered but rather grew worse when she had heard of came in the press behind and touched his garment for she said if i may touch but his,NT
545,bat or the frogs whose harsh and interrupted croaking was heard only when i approached the shoreoften i say i was tempted to plunge into the silent lake that the waters might close over me and my calamities forever but i was restrained when i thought of the heroic and suffering elizabeth whom i tenderly loved and whose existence was bound up in mine i thought also of my father and surviving brother should i by my base desertion leave them exposed and unprotected to the malice of the fiend whom i had let loose among them at these moments i wept bitterly and wished that peace would revisit my mind only that i might afford them consolation and happiness but that could not be remorse extinguished every hope i had been the author of unalterable evils and i lived in daily fear lest the monster whom i had created should perpetrate some new wickedness i had an obscure feeling that all was not over and that he would still commit some signal crime which by its enormity should almost efface the recollection of the past there was always scope for fear so long as anything i loved remained behind,FS
546,it was suggestive somewhat as a picture in outlines i did not need to go outdoors to take the air for the atmosphere within had lost none of its freshness it was not so much within doors as behind a door where i sat even in the rainiest weather the harivansa says an abode without birds is like a meat without seasoning such was not my abode for i found myself suddenly neighbor to the birds not by having imprisoned one but having caged myself near them i was not only nearer to some of those which commonly frequent the garden and the orchard but to those smaller and more thrilling songsters of the forest which never or rarely serenade a villagerthe wood thrush the veery the scarlet tanager the field sparrow the whippoorwill and many others i was seated by the shore of a small pond about a mile and a half south of the village of concord and somewhat higher than it in the midst of an extensive wood between that town and lincoln and about two miles south of that our only field known to fame concord battle ground but i was so low in the woods,WD
547,and besides all this that air of being on his own ground which is indescribable pardon me sir said the wayfarer could you in consideration of payment give me a plate of soup and a corner of that shed yonder in the garden in which to sleep tell me can you for money who are you demanded the master of the house the man replied i have just come from puy moisson i have walked all day long i have travelled twelve leagues can you if i pay i would not refuse said the peasant to lodge any respectable man who would pay me but why do you not go to the inn there is no room bah impossible this is neither a fair nor a market day have you been to labarre yes well the traveller replied with embarrassment i do not know he did not receive me have you been to what's his name's in the rue chaffaut the stranger's embarrassment increased he stammered he did not receive me either the peasant's countenance assumed an expression of distrust he surveyed the newcomer from head to feet and suddenly exclaimed with a sort of shudder are you the man,LM
548,clothes i shall be whole and straightway the fountain of her blood was dried up and she felt in her body that she was healed of that plague and immediately knowing in himself that virtue had gone out of him turned him about in the press and said who touched my clothes and his disciples said unto him thou seest the multitude thronging thee and sayest thou who touched me and he looked round about to see her that had done this thing but the woman fearing and trembling knowing what was done in her came and fell down before him and told him all the truth and he said unto her daughter thy faith hath made thee whole go in peace and be whole of thy plague while he yet spake there came from the ruler of the synagogue's house certain which said thy daughter is dead why troublest thou the master any further as soon as heard the word that was spoken he saith unto the ruler of the synagogue be not afraid only believe and he suffered no man to follow him save peter and james and the brother of james and he cometh to the house,NT
549,my abhorrence of this fiend cannot be conceived when i thought of him i gnashed my teeth my eyes became inflamed and i ardently wished to extinguish that life which i had so thoughtlessly bestowed when i reflected on his crimes and malice my hatred and revenge burst all bounds of moderation i would have made a pilgrimage to the highest peak of the andes could i when there have precipitated him to their base i wished to see him again that i might wreak the utmost extent of abhorrence on his head and avenge the deaths of william and justine our house was the house of mourning my father's health was deeply shaken by the horror of the recent events elizabeth was sad and desponding she no longer took delight in her ordinary occupations all pleasure seemed to her sacrilege toward the dead eternal woe and tears she then thought was the just tribute she should pay to innocence so blasted and destroyed she was no longer that happy creature who in earlier youth wandered with me on the banks of the lake and talked with ecstasy of our future prospects the first of those sorrows which are sent,FS
550,that the opposite shore half a mile off like the rest covered with wood was my most distant horizon for the first week whenever i looked out on the pond it impressed me like a tarn high up on the side of a mountain its bottom far above the surface of other lakes and as the sun arose i saw it throwing off its nightly clothing of mist and here and there by degrees its soft ripples or its smooth reflecting surface was revealed while the mists like ghosts were stealthily withdrawing in every direction into the woods as at the breaking up of some nocturnal conventicle the very dew seemed to hang upon the trees later into the day than usual as on the sides of mountains this small lake was of most value as a neighbor in the intervals of a gentle rainstorm in august when both air and water being perfectly still but the sky overcast midafternoon had all the serenity of evening and the wood thrush sang around and was heard from shore to shore a lake like this is never smoother than at such a time and the clear portion of the air above it,WD
551,he cast a fresh glance upon the stranger took three steps backwards placed the lamp on the table and took his gun down from the wall meanwhile at the words are you the man the woman had risen had clasped her two children in her arms and had taken refuge precipitately behind her husband staring in terror at the stranger with her bosom uncovered and with frightened eyes as she murmured in a low tone tso maraude all this took place in less time than it requires to picture it to one's self after having scrutinized the man for several moments as one scrutinizes a viper the master of the house returned to the door and said clear out for pity's sake a glass of water said the man a shot from my gun said the peasant then he closed the door violently and the man heard him shoot two large bolts a moment later the window shutter was closed and the sound of a bar of iron which was placed against it was audible outside night continued to fall a cold wind from the alps was blowing by the light of the expiring day the stranger perceived in one,LM
552,of the ruler of the synagogue and seeth the tumult and them that wept and wailed greatly and when he was come in he saith unto them why make ye this ado and weep the damsel is not dead but sleepeth and they laughed him to scorn but when he had put them all out he taketh the father and the mother of the damsel and them that were with him and entereth in where the damsel was lying and he took the damsel by the hand and said unto her talitha cumi which is being interpreted damsel i say unto thee arise and straightway the damsel arose and walked for she was of the age of twelve years and they were astonished with a great astonishment and he charged them straitly that no man should know it and commanded that something should be given her to eat and he went out from thence and came into his own country and his disciples follow him and when the sabbath day was come he began to teach in the synagogue and many hearing him were astonished saying from whence hath this man these things and what wisdom is this which is,NT
553,to wean us from the earth had visited her and its dimming influence quenched her dearest smiles when i reflect my dear cousin said she on the miserable death of justine moritz i no longer see the world and its works as they before appeared to me before i looked upon the accounts of vice and injustice that i read in books or heard from others as tales of ancient days or imaginary evils at least they were remote and more familiar to reason than to the imagination but now misery has come home and men appear to me as monsters thirsting for each other's blood yet i am certainly unjust everybody believed that poor girl to be guilty and if she could have committed the crime for which she suffered assuredly she would have been the most depraved of human creatures for the sake of a few jewels to have murdered the son of her benefactor and friend a child whom she had nursed from its birth and appeared to love as if it had been her own i could not consent to the death of any human being but certainly i should have thought such a creature unfit,FS
554,being shallow and darkened by clouds the water full of light and reflections becomes a lower heaven itself so much the more important from a hilltop near by where the wood had been recently cut off there was a pleasing vista southward across the pond through a wide indentation in the hills which form the shore there where their opposite sides sloping toward each other suggested a stream flowing out in that direction through a wooded valley but stream there was none that way i looked between and over the near green hills to some distant and higher ones in the horizon tinged with blue indeed by standing on tiptoe i could catch a glimpse of some of the peaks of the still bluer and more distant mountain ranges in the northwest those trueblue coins from heaven's own mint and also of some portion of the village but in other directions even from this point i could not see over or beyond the woods which surrounded me it is well to have some water in your neighborhood to give buoyancy to and float the earth one value even of the smallest well is that when you look into it you,WD
555,of the gardens which bordered the street a sort of hut which seemed to him to be built of sods he climbed over the wooden fence resolutely and found himself in the garden he approached the hut its door consisted of a very low and narrow aperture and it resembled those buildings which road laborers construct for themselves along the roads he thought without doubt that it was in fact the dwelling of a road laborer he was suffering from cold and hunger but this was at least a shelter from the cold this sort of dwelling is not usually occupied at night he threw himself flat on his face and crawled into the hut it was warm there and he found a tolerably good bed of straw he lay for a moment stretched out on this bed without the power to make a movement so fatigued was he then as the knapsack on his back was in his way and as it furnished moreover a pillow ready to his hand he set about unbuckling one of the straps at that moment a ferocious growl became audible he raised his eyes the head of an enormous dog was outlined in,LM
556,given unto him that even such mighty works are wrought by his hands is not this the carpenter the son of mary the brother of james and joses and of juda and simon and are not his sisters here with us and they were offended at him but said unto them a prophet is not without honour but in his own country and among his own kin and in his own house and he could there do no mighty work save that he laid his hands upon a few sick folk and healed them and he marvelled because of their unbelief and he went round about the villages teaching and he called unto him the twelve and began to send them forth by two and two and gave them power over unclean spirits and commanded them that they should take nothing for their journey save a staff only no scrip no bread no money in their purse but be shod with sandals and not put on two coats and he said unto them in what place soever ye enter into an house there abide till ye depart from that place and whosoever shall not receive you nor hear you when,NT
557,to remain in the society of men but she was innocent i know i feel she was innocent you are of the same opinion and that confirms me alas victor when falsehood can look so like the truth who can assure themselves of certain happiness i feel as if i were walking on the edge of a precipice towards which thousands are crowding and endeavouring to plunge me into the abyss william and justine were assassinated and the murderer escapes he walks about the world free and perhaps respected but even if i were condemned to suffer on the scaffold for the same crimes i would not change places with such a wretch i listened to this discourse with the extremest agony i not in deed but in effect was the true murderer elizabeth read my anguish in my countenance and kindly taking my hand said my dearest friend you must calm yourself these events have affected me god knows how deeply but i am not so wretched as you are there is an expression of despair and sometimes of revenge in your countenance that makes me tremble dear victor banish these dark passions remember the friends around you who,FS
558,see that earth is not continent but insular this is as important as that it keeps butter cool when i looked across the pond from this peak toward the sudbury meadows which in time of flood i distinguished elevated perhaps by a mirage in their seething valley like a coin in a basin all the earth beyond the pond appeared like a thin crust insulated and floated even by this small sheet of interverting water and i was reminded that this on which i dwelt was but dry land though the view from my door was still more contracted i did not feel crowded or confined in the least there was pasture enough for my imagination the low shrub oak plateau to which the opposite shore arose stretched away toward the prairies of the west and the steppes of tartary affording ample room for all the roving families of men there are none happy in the world but beings who enjoy freely a vast horizonsaid damodara when his herds required new and larger pastures both place and time were changed and i dwelt nearer to those parts of the universe and to those eras in history which had most attracted,WD
559,the darkness at the entrance of the hut it was a dog's kennel he was himself vigorous and formidable he armed himself with his staff made a shield of his knapsack and made his way out of the kennel in the best way he could not without enlarging the rents in his rags he left the garden in the same manner but backwards being obliged in order to keep the dog respectful to have recourse to that manoeuvre with his stick which masters in that sort of fencing designate as la rose couverte when he had not without difficulty repassed the fence and found himself once more in the street alone without refuge without shelter without a roof over his head chased even from that bed of straw and from that miserable kennel he dropped rather than seated himself on a stone and it appears that a passer by heard him exclaim i am not even a dog he soon rose again and resumed his march he went out of the town hoping to find some tree or haystack in the fields which would afford him shelter he walked thus for some time with his head still drooping when he,LM
560,ye depart thence shake off the dust under your feet for a testimony against them verily i say unto you it shall be more tolerable for sodom and gomorrha in the day of judgment than for that city and they went out and preached that men should repent and they cast out many devils and anointed with oil many that were sick and healed them and king herod heard of him for his name was spread abroad and he said that the baptist was risen from the dead and therefore mighty works do shew forth themselves in him others said that it is elias and others said that it is a prophet or as one of the prophets but when herod heard thereof he said it is whom i beheaded he is risen from the dead for herod himself had sent forth and laid hold upon and bound him in prison for herodias sake his brother philip's wife for he had married her for had said unto herod it is not lawful for thee to have thy brother's wife therefore herodias had a quarrel against him and would have killed him but she could not for herod feared knowing that,NT
561,centre all their hopes in you have we lost the power of rendering you happy ah while we love while we are true to each other here in this land of peace and beauty your native country we may reap every tranquil blessingwhat can disturb our peace and could not such words from her whom i fondly prized before every other gift of fortune suffice to chase away the fiend that lurked in my heart even as she spoke i drew near to her as if in terror lest at that very moment the destroyer had been near to rob me of her thus not the tenderness of friendship nor the beauty of earth nor of heaven could redeem my soul from woe the very accents of love were ineffectual i was encompassed by a cloud which no beneficial influence could penetrate the wounded deer dragging its fainting limbs to some untrodden brake there to gaze upon the arrow which had pierced it and to die was but a type of me sometimes i could cope with the sullen despair that overwhelmed me but sometimes the whirlwind passions of my soul drove me to seek by bodily exercise and by,FS
562,me where i lived was as far off as many a region viewed nightly by astronomers we are wont to imagine rare and delectable places in some remote and more celestial corner of the system behind the constellation of cassiopeia's chair far from noise and disturbance i discovered that my house actually had its site in such a withdrawn but forever new and unprofaned part of the universe if it were worth the while to settle in those parts near to the pleiades or the hyades to aldebaran or altair then i was really there or at an equal remoteness from the life which i had left behind dwindled and twinkling with as fine a ray to my nearest neighbor and to be seen only in moonless nights by him such was that part of creation where i had squatted there was a shepherd that did live and held his thoughts as high as were the mounts whereon his flocks did hourly feed him by what should we think of the shepherd's life if his flocks always wandered to higher pastures than his thoughts every morning was a cheerful invitation to make my life of equal simplicity and i may,WD
563,felt himself far from every human habitation he raised his eyes and gazed searchingly about him he was in a field before him was one of those low hills covered with close cut stubble which after the harvest resemble shaved heads the horizon was perfectly black this was not alone the obscurity of night it was caused by very low hanging clouds which seemed to rest upon the hill itself and which were mounting and filling the whole sky meanwhile as the moon was about to rise and as there was still floating in the zenith a remnant of the brightness of twilight these clouds formed at the summit of the sky a sort of whitish arch whence a gleam of light fell upon the earth the earth was thus better lighted than the sky which produces a particularly sinister effect and the hill whose contour was poor and mean was outlined vague and wan against the gloomy horizon the whole effect was hideous petty lugubrious and narrow there was nothing in the field or on the hill except a deformed tree which writhed and shivered a few paces distant from the wayfarer this man was evidently very far from,LM
564,he was a just man and an holy and observed him and when he heard him he did many things and heard him gladly and when a convenient day was come that herod on his birthday made a supper to his lords high captains and chief estates of galilee and when the daughter of the said herodias came in and danced and pleased herod and them that sat with him the king said unto the damsel ask of me whatsoever thou wilt and i will give it thee and he sware unto her whatsoever thou shalt ask of me i will give it thee unto the half of my kingdom and she went forth and said unto her mother what shall i ask and she said the head of the baptist and she came in straightway with haste unto the king and asked saying i will that thou give me by and by in a charger the head of the baptist and the king was exceeding sorry yet for his oath's sake and for their sakes which sat with him he would not reject her and immediately the king sent an executioner and commanded his head to be brought and,NT
565,change of place some relief from my intolerable sensations it was during an access of this kind that i suddenly left my home and bending my steps towards the near alpine valleys sought in the magnificence the eternity of such scenes to forget myself and my ephemeral because human sorrows my wanderings were directed towards the valley of chamounix i had visited it frequently during my boyhood six years had passed since then i was a wreck but nought had changed in those savage and enduring scenes i performed the first part of my journey on horseback i afterwards hired a mule as the more surefooted and least liable to receive injury on these rugged roads the weather was fine it was about the middle of the month of august nearly two months after the death of justine that miserable epoch from which i dated all my woe the weight upon my spirit was sensibly lightened as i plunged yet deeper in the ravine of arve the immense mountains and precipices that overhung me on every side the sound of the river raging among the rocks and the dashing of the waterfalls around spoke of a power mighty as omnipotenceand,FS
566,say innocence with nature herself i have been as sincere a worshipper of aurora as the greeks i got up early and bathed in the pond that was a religious exercise and one of the best things which i did they say that characters were engraven on the bathing tub of king tchingthang to this effect renew thyself completely each day do it again and again and forever again i can understand that morning brings back the heroic ages i was as much affected by the faint hum of a mosquito making its invisible and unimaginable tour through my apartment at earliest dawn when i was sitting with door and windows open as i could be by any trumpet that ever sang of fame it was homer's requiem itself an iliad and odyssey in the air singing its own wrath and wanderings there was something cosmical about it a standing advertisement till forbidden of the everlasting vigor and fertility of the world the morning which is the most memorable season of the day is the awakening hour then there is least somnolence in us and for an hour at least some part of us awakes which slumbers all the rest,WD
567,having those delicate habits of intelligence and spirit which render one sensible to the mysterious aspects of things nevertheless there was something in that sky in that hill in that plain in that tree which was so profoundly desolate that after a moment of immobility and revery he turned back abruptly there are instants when nature seems hostile he retraced his steps the gates of d were closed d which had sustained sieges during the wars of religion was still surrounded in by ancient walls flanked by square towers which have been demolished since he passed through a breach and entered the town again it might have been eight o'clock in the evening as he was not acquainted with the streets he recommenced his walk at random in this way he came to the prefecture then to the seminary as he passed through the cathedral square he shook his fist at the church at the corner of this square there is a printing establishment it is there that the proclamations of the emperor and of the imperial guard to the army brought from the island of elba and dictated by napoleon himself were printed for the first time worn out,LM
568,he went and beheaded him in the prison and brought his head in a charger and gave it to the damsel and the damsel gave it to her mother and when his disciples heard of it they came and took up his corpse and laid it in a tomb and the apostles gathered themselves together unto and told him all things both what they had done and what they had taught and he said unto them come ye yourselves apart into a desert place and rest a while for there were many coming and going and they had no leisure so much as to eat and they departed into a desert place by ship privately and the people saw them departing and many knew him and ran afoot thither out of all cities and outwent them and came together unto him and when he came out saw much people and was moved with compassion toward them because they were as sheep not having a shepherd and he began to teach them many things and when the day was now far spent his disciples came unto him and said this is a desert place and now the time is far passed,NT
569,i ceased to fear or to bend before any being less almighty than that which had created and ruled the elements here displayed in their most terrific guise still as i ascended higher the valley assumed a more magnificent and astonishing character ruined castles hanging on the precipices of piny mountains the impetuous arve and cottages every here and there peeping forth from among the trees formed a scene of singular beauty but it was augmented and rendered sublime by the mighty alps whose white and shining pyramids and domes towered above all as belonging to another earth the habitations of another race of beings i passed the bridge of pelissier where the ravine which the river forms opened before me and i began to ascend the mountain that overhangs it soon after i entered the valley of chamounix this valley is more wonderful and sublime but not so beautiful and picturesque as that of servox through which i had just passed the high and snowy mountains were its immediate boundaries but i saw no more ruined castles and fertile fields immense glaciers approached the road i heard the rumbling thunder of the falling avalanche and marked the smoke of,FS
570,of the day and night little is to be expected of that day if it can be called a day to which we are not awakened by our genius but by the mechanical nudgings of some servitor are not awakened by our own newly acquired force and aspirations from within accompanied by the undulations of celestial music instead of factory bells and a fragrance filling the airto a higher life than we fell asleep from and thus the darkness bear its fruit and prove itself to be good no less than the light that man who does not believe that each day contains an earlier more sacred and auroral hour than he has yet profaned has despaired of life and is pursuing a descending and darkening way after a partial cessation of his sensuous life the soul of man or its organs rather are reinvigorated each day and his genius tries again what noble life it can make all memorable events i should say transpire in morning time and in a morning atmosphere the vedas say all intelligences awake with the morning poetry and art and the fairest and most memorable of the actions of men date from such an,WD
571,with fatigue and no longer entertaining any hope he lay down on a stone bench which stands at the doorway of this printing office at that moment an old woman came out of the church she saw the man stretched out in the shadow what are you doing there my friend said she he answered harshly and angrily as you see my good woman i am sleeping the good woman who was well worthy the name in fact was the marquise de r on this bench she went on i have had a mattress of wood for nineteen years said the man to day i have a mattress of stone you have been a soldier yes my good woman a soldier why do you not go to the inn because i have no money alas said madame de r i have only four sous in my purse give it to me all the same the man took the four sous madame de r continued you cannot obtain lodgings in an inn for so small a sum but have you tried it is impossible for you to pass the night thus you are cold and hungry no doubt some one might,LM
572,send them away that they may go into the country round about and into the villages and buy themselves bread for they have nothing to eat he answered and said unto them give ye them to eat and they say unto him shall we go and buy two hundred pennyworth of bread and give them to eat he saith unto them how many loaves have ye go and see and when they knew they say five and two fishes and he commanded them to make all sit down by companies upon the green grass and they sat down in ranks by hundreds and by fifties and when he had taken the five loaves and the two fishes he looked up to heaven and blessed and brake the loaves and gave them to his disciples to set before them and the two fishes divided he among them all and they did all eat and were filled and they took up twelve baskets full of the fragments and of the fishes and they that did eat of the loaves were about five thousand men and straightway he constrained his disciples to get into the ship and to go to the other side,NT
573,its passage mont blanc the supreme and magnificent mont blanc raised itself from the surrounding aiguilles and its tremendous dome overlooked the valley a tingling longlost sense of pleasure often came across me during this journey some turn in the road some new object suddenly perceived and recognized reminded me of days gone by and were associated with the lighthearted gaiety of boyhood the very winds whispered in soothing accents and maternal nature bade me weep no more then again the kindly influence ceased to acti found myself fettered again to grief and indulging in all the misery of reflection then i spurred on my animal striving so to forget the world my fears and more than all myselfor in a more desperate fashion i alighted and threw myself on the grass weighed down by horror and despair at length i arrived at the village of chamounix exhaustion succeeded to the extreme fatigue both of body and of mind which i had endured for a short space of time i remained at the window watching the pallid lightnings that played above mont blanc and listening to the rushing of the arve which pursued its noisy way beneath the same lulling,FS
574,hour all poets and heroes like memnon are the children of aurora and emit their music at sunrise to him whose elastic and vigorous thought keeps pace with the sun the day is a perpetual morning it matters not what the clocks say or the attitudes and labors of men morning is when i am awake and there is a dawn in me moral reform is the effort to throw off sleep why is it that men give so poor an account of their day if they have not been slumbering they are not such poor calculators if they had not been overcome with drowsiness they would have performed something the millions are awake enough for physical labor but only one in a million is awake enough for effective intellectual exertion only one in a hundred millions to a poetic or divine life to be awake is to be alive i have never yet met a man who was quite awake how could i have looked him in the face we must learn to reawaken and keep ourselves awake not by mechanical aids but by an infinite expectation of the dawn which does not forsake us in our soundest sleep,WD
575,have given you a lodging out of charity i have knocked at all doors well i have been driven away everywhere the good woman touched the man's arm and pointed out to him on the other side of the street a small low house which stood beside the bishop's palace you have knocked at all doors yes have you knocked at that one no knock there ii prudence counselled to wisdom that evening the bishop of d after his promenade through the town remained shut up rather late in his room he was busy over a great work on duties which was never completed unfortunately he was carefully compiling everything that the fathers and the doctors have said on this important subject his book was divided into two parts firstly the duties of all secondly the duties of each individual according to the class to which he belongs the duties of all are the great duties there are four of these saint matthew points them out duties towards god matt vi duties towards one's self matt v duties towards one's neighbor matt vii duties towards animals matt vi as for the other duties the bishop found them pointed out and,LM
576,before unto bethsaida while he sent away the people and when he had sent them away he departed into a mountain to pray and when even was come the ship was in the midst of the sea and he alone on the land and he saw them toiling in rowing for the wind was contrary unto them and about the fourth watch of the night he cometh unto them walking upon the sea and would have passed by them but when they saw him walking upon the sea they supposed it had been a spirit and cried out for they all saw him and were troubled and immediately he talked with them and saith unto them be of good cheer it is i be not afraid and he went up unto them into the ship and the wind ceased and they were sore amazed in themselves beyond measure and wondered for they considered not the miracle of the loaves for their heart was hardened and when they had passed over they came into the land of gennesaret and drew to the shore and when they were come out of the ship straightway they knew him and ran through that whole,NT
577,sounds acted as a lullaby to my too keen sensations when i placed my head upon my pillow sleep crept over me i felt it as it came and blessed the giver of oblivion chapter i spent the following day roaming through the valley i stood beside the sources of the arveiron which take their rise in a glacier that with slow pace is advancing down from the summit of the hills to barricade the valley the abrupt sides of vast mountains were before me the icy wall of the glacier overhung me a few shattered pines were scattered around and the solemn silence of this glorious presencechamber of imperial nature was broken only by the brawling waves or the fall of some vast fragment the thunder sound of the avalanche or the cracking reverberated along the mountains of the accumulated ice which through the silent working of immutable laws was ever and anon rent and torn as if it had been but a plaything in their hands these sublime and magnificent scenes afforded me the greatest consolation that i was capable of receiving they elevated me from all littleness of feeling and although they did not remove my grief,FS
578,i know of no more encouraging fact than the unquestionable ability of man to elevate his life by a conscious endeavor it is something to be able to paint a particular picture or to carve a statue and so to make a few objects beautiful but it is far more glorious to carve and paint the very atmosphere and medium through which we look which morally we can do to affect the quality of the day that is the highest of arts every man is tasked to make his life even in its details worthy of the contemplation of his most elevated and critical hour if we refused or rather used up such paltry information as we get the oracles would distinctly inform us how this might be done i went to the woods because i wished to live deliberately to front only the essential facts of life and see if i could not learn what it had to teach and not when i came to die discover that i had not lived i did not wish to live what was not life living is so dear nor did i wish to practise resignation unless it was quite necessary i,WD
579,prescribed elsewhere to sovereigns and subjects in the epistle to the romans to magistrates to wives to mothers to young men by saint peter to husbands fathers children and servants in the epistle to the ephesians to the faithful in the epistle to the hebrews to virgins in the epistle to the corinthians out of these precepts he was laboriously constructing a harmonious whole which he desired to present to souls at eight o'clock he was still at work writing with a good deal of inconvenience upon little squares of paper with a big book open on his knees when madame magloire entered according to her wont to get the silver ware from the cupboard near his bed a moment later the bishop knowing that the table was set and that his sister was probably waiting for him shut his book rose from his table and entered the dining room the dining room was an oblong apartment with a fireplace which had a door opening on the street as we have said and a window opening on the garden madame magloire was in fact just putting the last touches to the table as she performed this service she was conversing,LM
580,region round about and began to carry about in beds those that were sick where they heard he was and whithersoever he entered into villages or cities or country they laid the sick in the streets and besought him that they might touch if it were but the border of his garment and as many as touched him were made whole then came together unto him the pharisees and certain of the scribes which came from jerusalem and when they saw some of his disciples eat bread with defiled that is to say with unwashen hands they found fault for the pharisees and all the jews except they wash their hands oft eat not holding the tradition of the elders and when they come from the market except they wash they eat not and many other things there be which they have received to hold as the washing of cups and pots brasen vessels and of tables then the pharisees and scribes asked him why walk not thy disciples according to the tradition of the elders but eat bread with unwashen hands he answered and said unto them well hath esaias prophesied of you hypocrites as it is written this,NT
581,they subdued and tranquillized it in some degree also they diverted my mind from the thoughts over which it had brooded for the last month i retired to rest at night my slumbers as it were waited on and ministered to by the assemblance of grand shapes which i had contemplated during the day they congregated round me the unstained snowy mountaintop the glittering pinnacle the pine woods and ragged bare ravine the eagle soaring amidst the cloudsthey all gathered round me and bade me be at peace where had they fled when the next morning i awoke all of soulinspiriting fled with sleep and dark melancholy clouded every thought the rain was pouring in torrents and thick mists hid the summits of the mountains so that i even saw not the faces of those mighty friends still i would penetrate their misty veil and seek them in their cloudy retreats what were rain and storm to me my mule was brought to the door and i resolved to ascend to the summit of montanvert i remembered the effect that the view of the tremendous and evermoving glacier had produced upon my mind when i first saw it it had,FS
582,wanted to live deep and suck out all the marrow of life to live so sturdily and spartanlike as to put to rout all that was not life to cut a broad swath and shave close to drive life into a corner and reduce it to its lowest terms and if it proved to be mean why then to get the whole and genuine meanness of it and publish its meanness to the world or if it were sublime to know it by experience and be able to give a true account of it in my next excursion for most men it appears to me are in a strange uncertainty about it whether it is of the devil or of god and have somewhat hastily concluded that it is the chief end of man here to glorify god and enjoy him forever still we live meanly like ants though the fable tells us that we were long ago changed into men like pygmies we fight with cranes it is error upon error and clout upon clout and our best virtue has for its occasion a superfluous and evitable wretchedness our life is frittered away by detail an honest man has,WD
